ecosys,mvg,cmz,areatot,areaeff,areatot_connadj,areaeff_connadj,areatot_compcorr,areaeff_compcorr,areatot_connadj_compcorr,areaeff_connadj_compcorr,areaeff_scaled,log_areatot,delta_persist_1ha,cons_sig
83,4,14,390.42,105.63740524291993,390.42,10.163556604385377,9032.651411037481,5310.563363141348,9032.651411037481,2037.2437160563195,0.22554216069568478,9.108601225797157,8.455202823653973e-05,0.9975786924939467
680,32,13,0.81,0.017352633699774744,0.81,0.018390280455350877,12171.38301493381,5799.305815863195,12171.38301493381,3035.224741047861,0.2493738581165147,9.40684282085059,5.819802360673698e-05,0.9951573849878934
334,15,12,6867.990000000001,4251.224091796876,6867.990000000001,1375.644100341797,13839.58107119511,7730.217643677542,13839.58107119511,3072.0800353915934,0.22197781996346985,9.535287959291214,5.585111811501342e-05,0.9927360774818402
207,9,23,7006.500000000001,3049.018374023438,7006.500000000001,742.4774230957032,19043.300889205715,9551.431688354245,19043.300889205715,3230.630710042912,0.16964657171772807,9.854470659348914,4.965792386679713e-05,0.9903147699757869
80,4,11,32.400000000000006,14.021909122467042,32.400000000000006,0.6359994471073152,16841.158962433292,9604.322000406853,16841.158962433292,3577.009816718291,0.21239689172801843,9.73158110742542,4.744182543081621e-05,0.9878934624697336
690,32,23,37009.71,5346.9717626953125,37009.71,617.9167858886719,56074.62682190754,10900.65391281268,56074.62682190754,2471.3081479606685,0.04407177163763423,10.934438704384679,4.6343341538246374e-05,0.9854721549636803
335,15,13,649.62,433.28113220214846,649.62,214.81601440429688,23750.293632002464,11404.819591685658,23750.293632002464,4156.9527585929345,0.1750274258921846,10.075350172839096,3.889576091375968e-05,0.9830508474576272
73,4,4,1747.98,339.77910552978517,1747.98,39.13976211547852,27655.150364155295,13397.385726981654,27655.150364155295,4639.09720916181,0.16774803781847045,10.227567259555755,3.448544185236102e-05,0.9806295399515739
669,32,2,28.35,23.727038955688478,28.35,9.45912320137024,39585.905475501604,11847.788954724529,39585.905475501604,4291.0342966592325,0.10839803321701989,10.586228411551366,3.342684776064253e-05,0.9782082324455206
42,2,19,21.060000000000002,0.15448937326669693,21.060000000000002,0.001799284899607301,22645.22210188021,13946.908318337573,22645.22210188021,5173.247051342273,0.2284476181363107,10.02770416392986,3.34073455702244e-05,0.9757869249394673
675,32,8,2267.19,928.2896630859376,2267.19,228.21678314208987,22832.10854279478,10422.55118113511,22832.10854279478,5197.976641862297,0.22766082388403164,10.035923093681964,3.321975550640843e-05,0.9733656174334141
158,7,20,1948.8600000000001,651.8653967285156,1948.8600000000001,133.1578894042969,25743.092551168233,14325.940682911218,25743.092551168233,5746.457862530866,0.22322329188340229,10.155921619666229,2.9901730314918495e-05,0.9709443099273608
400,18,9,142.56,101.1382814025879,142.56,61.874799499511724,20433.5024209308,13516.310931109301,20433.5024209308,6827.377945940559,0.33412666146489994,9.924931108308291,2.7838125854717788e-05,0.9685230024213075
182,8,21,1901.0700000000002,862.5773254394531,1901.0700000000002,201.81846588134766,51759.52570899353,15892.387603139052,51759.52570899353,5039.998909369739,0.09737335959579722,10.854363765859876,2.7706858946485724e-05,0.9661016949152542
88,4,19,4911.84,2850.2027270507815,4911.84,1063.2394995117188,33596.190164768035,16707.103569688334,33596.190164768035,5822.67895901201,0.17331366831939743,10.422167951569064,2.770112447658679e-05,0.9636803874092009
391,17,23,8150.22,3540.4344580078127,8150.22,591.1034820556641,43466.53682625614,19323.506482795012,43466.53682625614,5445.170165841863,0.12527269397162294,10.67974665267611,2.731258145882709e-05,0.9612590799031477
477,21,17,787.32,451.69340515136724,787.32,83.01429656982423,43346.730758593774,19209.474099375908,43346.730758593774,5715.443536087268,0.1318540853269342,10.67698656433816,2.63563323195104e-05,0.9588377723970944
79,4,10,1772.2800000000002,637.024658203125,1772.2800000000002,38.42387443542481,34203.23923434409,19322.37069441341,34203.23923434409,6703.714326314147,0.19599647508189302,10.440075633020072,2.4812029129739344e-05,0.9564164648910412
174,8,13,6540.75,4057.8290771484376,6540.75,1763.6413183593752,48498.37636065255,20294.159317277554,48498.37636065255,6766.846113114795,0.13952727123881278,10.789285599265257,2.257846524222895e-05,0.9539951573849879
209,10,2,6186.780000000001,3981.1942968750004,6186.780000000001,1269.4944506835939,40609.53228243621,22820.439599476187,40609.53228243621,7275.370062029956,0.17915424416686976,10.611758103313752,2.2354723952844324e-05,0.9515738498789347
328,15,6,296.46000000000004,127.93654357910157,296.46000000000004,31.828163681030276,70074.27155308636,25055.93695932439,70074.27155308636,6246.217752353776,0.08913710572962305,11.157310980732241,2.1868120015366976e-05,0.9491525423728814
205,9,21,6692.22,3303.5644335937504,6692.22,422.80200439453125,37247.37783238054,20287.540302778045,37247.37783238054,7783.228994652614,0.2089604543352945,10.525336827568353,2.171577348453191e-05,0.9467312348668281
480,21,20,30340.170000000002,12790.0233984375,30340.170000000002,2185.2152709960938,58650.43746506527,26067.00081152117,58650.43746506527,6838.87135337367,0.11660392742078347,10.979350312963698,2.1360433215877883e-05,0.9443099273607748
90,4,21,26913.870000000003,13440.244570312501,26913.870000000003,2149.0702075195313,63463.77922839421,34855.33438782384,63463.77922839421,6803.371932324861,0.10720086346955172,11.058224616285417,2.1025262601837014e-05,0.9418886198547215
665,31,21,502.20000000000005,210.14037048339844,502.20000000000005,23.850236549377442,33457.54728925229,20649.843220521743,33457.54728925229,8966.54627206265,0.267997716465696,10.418032669082137,2.0059930578963936e-05,0.9394673123486683
230,10,23,50364.990000000005,24814.163320312502,50364.990000000005,4862.328354492188,65660.56003767876,32843.34605458848,65660.56003767876,7224.146111102201,0.11002260880742847,11.092253720377704,1.9929730660006584e-05,0.937046004842615
688,32,21,67322.34000000001,14614.057968750001,67322.34000000001,1691.4923876953126,103917.88257258756,26310.03437274091,103917.88257258756,6565.828588799797,0.0631828557920578,11.551356275584428,1.9088661568411602e-05,0.9346246973365617
464,21,4,827.82,355.2018338012696,827.82,33.41762615203858,48741.120679036765,24366.84299836944,48741.120679036765,8662.946756017525,0.17773384434600006,10.794278319919309,1.873691550779988e-05,0.9322033898305084
409,18,18,16887.690000000002,10703.20552734375,16887.690000000002,2963.1091333007817,38798.87718029292,23469.380115568183,38798.87718029292,9576.997703562536,0.24683698085023378,10.56614658654039,1.8399082940878664e-05,0.9297820823244553
228,10,21,47735.73,20743.789921875003,47735.73,3163.6859765625004,72084.85765403033,34755.594288307206,72084.85765403033,8014.451151563473,0.11118078626205594,11.185599282547937,1.8011643308724068e-05,0.927360774818402
667,31,23,15757.740000000002,8431.019472656251,15757.740000000002,1461.385349121094,40605.41510702114,24591.78887183652,40605.41510702114,9798.142276906385,0.2413013695607356,10.611656713716124,1.788214421460932e-05,0.9249394673123487
86,4,17,8680.77,4267.124296875,8680.77,1201.5878356933595,56555.66888239699,26947.635165158314,56555.66888239699,8817.14027735827,0.15590197148393403,10.942980722008917,1.7815855849256934e-05,0.9225181598062954
84,4,15,12088.44,5530.722319335938,12088.44,852.6289196777344,57653.17195748023,33773.78656224081,57653.17195748023,8779.979242193163,0.15228961294043775,10.962200545128626,1.7786706632105798e-05,0.9200968523002422
203,9,19,2626.02,406.72728149414064,2626.02,15.76945266723633,40477.91143741084,21935.723872662682,40477.91143741084,10074.196368670751,0.24888132838197508,10.608511707704661,1.752715834724139e-05,0.9176755447941889
325,15,3,86.67,70.6291609954834,86.67,32.857664337158205,45355.79034250623,21200.498846972325,45355.79034250623,10072.042195053256,0.22206739468089498,10.722293128594634,1.7038348719800034e-05,0.9152542372881356
213,10,6,4016.7900000000004,2387.685212402344,4016.7900000000004,651.5229364013672,45886.535798484365,27374.04796866326,45886.535798484365,10303.386340480267,0.22454051414403325,10.733927015293059,1.6701977578637006e-05,0.9128329297820823
478,21,18,42105.420000000006,19953.384960937503,42105.420000000006,6846.460927734375,65681.41044869104,29638.270701276168,65681.41044869104,9258.515827778498,0.14096097761193876,11.092571218449496,1.6544580946464826e-05,0.910411622276029
393,18,2,9464.85,4954.3385009765625,9464.85,1362.6696643066407,79494.64913343436,35979.936442533,79494.64913343436,8849.569115091905,0.11132282753066329,11.283444991879557,1.6317196291026903e-05,0.9079903147699758
370,17,2,9123.84,4563.648369140626,9123.84,1448.29107421875,71888.41909319913,31497.175362687383,71888.41909319913,9745.852496001742,0.135569158689758,11.182870461100414,1.5564805205037224e-05,0.9055690072639225
332,15,10,392.04,124.17757553100587,392.04,9.961133079528809,60814.75147699213,24663.767867363928,60814.75147699213,10526.88112770224,0.17309749480247147,11.015587661502908,1.5317839517137166e-05,0.9031476997578692
77,4,8,336.96000000000004,164.56615356445315,336.96000000000004,35.179097442626954,43573.286258609856,29276.607302019842,43573.286258609856,11886.261114523311,0.2727878049862408,10.682199541068876,1.5199779188068696e-05,0.9007263922518159
482,21,22,17337.24,9900.116630859377,17337.24,5688.1474804687505,49099.521451012144,26462.40404676975,49099.521451012144,11670.226700106285,0.23768514142749783,10.801604567319885,1.4957095607615045e-05,0.8983050847457628
199,9,15,2107.6200000000003,932.4773986816407,2107.6200000000003,170.27443130493165,57297.10903788049,30628.390469333477,57297.10903788049,11641.842160967977,0.20318376191146534,10.95600544833894,1.441705523330672e-05,0.8958837772397095
169,8,8,27294.570000000003,16294.752597656252,27294.570000000003,6768.0910546875,72830.62347187601,32620.638945279195,72830.62347187601,10989.757884239129,0.15089473850904064,11.195891797821702,1.417769370259947e-05,0.8934624697336562
218,10,11,4.050000000000001,2.1651671576499942,4.050000000000001,0.6588011097908021,50605.28708484268,29894.981867488805,50605.28708484268,12593.707060325944,0.24886148831073454,10.831811337659824,1.40204810146205e-05,0.8910411622276029
466,21,6,40955.22,19948.69740234375,40955.22,5950.375883789063,93763.94012802136,39183.38852481395,93763.94012802136,10471.601429864228,0.11168047562385647,11.448535627477591,1.3800844631317588e-05,0.8886198547215496
333,15,11,4068.63,1322.0719738769533,4068.63,106.93870010375977,119834.33147450247,38666.98550131275,119834.33147450247,9903.300259645386,0.08264159475661233,11.693865496852142,1.3534533454095943e-05,0.8861985472154964
471,21,11,48955.590000000004,12028.018271484376,48955.590000000004,1053.2951477050783,138984.62519745983,45452.112594348,138984.62519745983,10126.307304806613,0.07285919065090725,11.842118595904864,1.2826078959804477e-05,0.8837772397094431
679,32,12,1795.7700000000002,975.3396679687501,1795.7700000000002,349.3622598266602,38162.371940486184,23909.457616870914,38162.371940486184,15743.659132581191,0.41254404095042263,10.549605281400062,1.2725989651851677e-05,0.8813559322033898
201,9,17,1773.9,321.58915740966796,1773.9,33.355454177856444,56280.63827492983,31990.188548660066,56280.63827492983,15073.672562354357,0.26783051906269717,10.938105852225313,1.1930953231931163e-05,0.8789346246973365
92,4,23,93789.90000000001,54589.804453125005,93789.90000000001,11122.7934375,106390.49663574091,61294.174847833565,106390.49663574091,12511.321192495596,0.1175981087420973,11.574871534567388,1.170102488179392e-05,0.8765133171912833
473,21,13,16775.100000000002,5683.2396240234375,16775.100000000002,1062.4183264160156,133703.11197837436,52074.25614457361,133703.11197837436,11700.858794648018,0.08751373563048075,11.803377038648433,1.1620569375536682e-05,0.87409200968523
399,18,8,38295.990000000005,20994.473847656252,38295.990000000005,6058.540151367188,80075.52683703694,45361.451827620134,80075.52683703694,13949.848236084,0.17420863511111917,11.290725553750589,1.1577806075413477e-05,0.8716707021791767
337,15,15,206584.83000000002,34963.1785546875,206584.83000000002,1722.075029296875,278138.42819449323,65987.94911465807,278138.42819449323,9247.251107933107,0.033246938109058426,12.535874211885885,1.1543769871891207e-05,0.8692493946731235
167,8,6,31838.670000000002,14127.24322265625,31838.670000000002,3304.580493164063,129392.82455789168,47141.66338340054,129392.82455789168,12098.951694563146,0.09350558453223927,11.77060820787227,1.1425841441425888e-05,0.8668280871670703
72,4,3,4024.0800000000004,2645.1303442382814,4024.0800000000004,570.1759771728516,83595.36844238528,52241.1927003551,83595.36844238528,14222.450569626351,0.17013443250063068,11.333743396131204,1.1288914380735982e-05,0.864406779661017
470,21,10,3495.15,504.3601647949219,3495.15,22.615391635894778,107523.48287450854,44458.71520484617,107523.48287450854,13122.303072446808,0.12204127620904864,11.58546454803841,1.1260151122405304e-05,0.8619854721549637
176,8,15,12795.570000000002,5426.234296875,12795.570000000002,1014.4731884765625,139794.67088005363,45258.9496863168,139794.67088005363,12043.825502418826,0.08615368115679208,11.847929988456233,1.1245544588200929e-05,0.8595641646489104
411,18,20,299.70000000000005,217.480426940918,299.70000000000005,72.393836517334,49829.86796129751,30643.3174852456,49829.86796129751,19040.849773029746,0.38211720303611146,10.816369841488626,1.0322723070443907e-05,0.8571428571428571
682,32,15,12055.230000000001,3578.6511914062503,12055.230000000001,691.4815356445313,107520.13798675318,35976.02952887449,107520.13798675318,14885.780748561785,0.13844644386892213,11.585433439115093,1.024419652773112e-05,0.8547215496368039
222,10,15,61285.41,35232.3010546875,61285.41,9971.2265625,87673.39494627337,50631.730931623184,87673.39494627337,16266.018321389356,0.18552969611085826,11.38137376798336,1.0086769528072637e-05,0.8523002421307506
394,18,3,13304.25,7236.460898437501,13304.25,1732.0299609375002,91111.64230315684,52031.17970549869,91111.64230315684,16204.458506762916,0.1778527759695696,11.419840872043821,1.0018682126911038e-05,0.8498789346246973
401,18,10,179.82000000000002,102.02268630981446,179.82000000000002,18.861735134124757,63662.27153117508,40107.41722693656,63662.27153117508,18284.153256393653,0.28720548005328395,11.06134738243598,1.0009316667947132e-05,0.847457627118644
204,9,20,16432.47,3460.192646484375,16432.47,712.5680841064453,73374.9500511585,39319.3656070059,73374.9500511585,18027.296843919878,0.24568734740331516,11.20333787639638,9.763287149189281e-06,0.8450363196125908
173,8,12,68407.74,36115.4953125,68407.74,10346.52392578125,106066.65648836043,51273.70369068321,106066.65648836043,16636.36935794538,0.1568482490986319,11.571823010256306,9.456742949054409e-06,0.8426150121065376
475,21,15,213567.03000000003,45854.536640625,213567.03000000003,4935.015571289063,285314.22087305307,74774.01088470439,285314.22087305307,11980.201242833782,0.0419894991780456,12.56134638129077,9.445989865630722e-06,0.8401937046004843
462,21,2,90228.33,40036.8540234375,90228.33,10191.265751953126,168156.06024837837,66265.8597926439,168156.06024837837,14516.230447560853,0.08632594285403307,12.032647757246757,9.334912861591604e-06,0.837772397094431
78,4,9,86.67,62.81131256103516,86.67,36.66045650482178,56504.504058303035,41004.246042113045,56504.504058303035,21397.71860030458,0.37869049480065825,10.942075631803306,9.165075078088059e-06,0.8353510895883777
138,6,23,592.9200000000001,190.48269287109378,592.9200000000001,35.204570617675785,135280.5249114795,54322.93738686633,135280.5249114795,16366.694612731142,0.12098337601395805,11.815105863750324,9.008458953241316e-06,0.8329297820823245
179,8,18,309.42,91.21899490356446,309.42,5.22451877117157,55065.715231823735,31921.240513776225,55065.715231823735,22726.777089918174,0.4127210006124437,10.91628257337919,8.816762301355752e-06,0.8305084745762712
476,21,16,28141.83,6947.241064453126,28141.83,588.3553454589844,134213.64573532745,54878.973512726705,134213.64573532745,17093.25116185985,0.12735851908507242,11.807188180431872,8.737009485559888e-06,0.8280871670702179
404,18,13,65622.15000000001,34890.0191015625,65622.15000000001,7741.6635937500005,122702.29834856172,67959.35391027766,122702.29834856172,17801.838968391527,0.14508154458379952,11.717516361970691,8.667004754658869e-06,0.8256658595641646
481,21,21,124935.21,44463.807773437504,124935.21,6728.799726562501,252658.817270058,90529.43143787037,252658.817270058,14463.905213167644,0.05724678588084931,12.439795309260344,8.45436432878044e-06,0.8232445520581114
253,11,23,6521.31,1355.6542456054688,6521.31,259.7816436767578,127629.74458488061,54910.59468486654,127629.74458488061,19122.43029523006,0.1498273804231632,11.75688873075935,8.133663520371037e-06,0.8208232445520581
506,22,23,1180.98,559.8827380371094,1180.98,116.54151855468751,69537.45752880354,43316.32964985152,69537.45752880354,23424.273944830795,0.33685836061993035,11.14962084361656,8.13071522598463e-06,0.8184019370460048
468,21,8,124254.00000000001,39741.852656250005,124254.00000000001,6961.9848046875,195481.15821356952,71572.6108723343,195481.15821356952,16620.281767031483,0.08502242322952315,12.183219276338757,8.122228393192543e-06,0.8159806295399515
43,2,20,3149.28,1536.4383947753906,3149.28,173.18534408569337,92402.5258583929,57402.91638375047,92402.5258583929,21740.47323408874,0.23528007521575836,11.433909593385943,8.00865917849336e-06,0.8135593220338984
414,18,23,227094.84000000003,82085.8809375,227094.84000000003,11549.127128906252,261093.8903911776,97487.00935770645,261093.8903911776,15634.350290119133,0.059880184353204684,12.472635354915852,7.909891678425929e-06,0.8111380145278451
170,8,9,1631.3400000000001,975.1193701171876,1631.3400000000001,287.15997985839846,141671.1886582361,55921.4281919939,141671.1886582361,19233.293151808604,0.1357600887941055,11.861264078669503,7.88988945621405e-06,0.8087167070217918
416,19,2,2487.51,1318.56767578125,2487.51,297.3563690185547,229958.44401377608,68939.08443897126,229958.44401377608,16869.38157876123,0.07335839156117545,12.345653893380087,7.712472755994071e-06,0.8062953995157385
210,10,3,3070.71,1687.5531298828125,3070.71,211.13779174804688,77131.83558824065,52240.00056956958,77131.83558824065,26325.187726905548,0.3413011958828454,11.25327138727368,7.258498608719854e-06,0.8038740920096852
374,17,6,34206.3,19177.62802734375,34206.3,4872.566865234376,124745.0609199233,62205.67700849915,124745.0609199233,22517.82874675919,0.18051078399980822,11.734027421005726,7.236558087209133e-06,0.801452784503632
389,17,21,75879.99,39480.172031250004,75879.99,8306.409990234375,167765.02713973224,76772.59080009424,167765.02713973224,20747.391389678527,0.12366934720189288,12.030319631386552,7.145525549923093e-06,0.7990314769975787
463,21,3,5444.01,1546.7292114257814,5444.01,201.56705886840822,128177.30151896823,62926.49157262699,128177.30151896823,22782.29771545021,0.17774050042767353,11.76116975255832,7.124951903803023e-06,0.7966101694915254
330,15,8,86716.98000000001,56640.35742187501,86716.98000000001,23420.191289062503,102429.1083722429,62410.985915950776,102429.1083722429,25255.42350076418,0.24656490622745775,11.536926212640598,6.975281203414063e-06,0.7941888619854721
202,9,18,74149.02,44765.3049609375,74149.02,20082.43599609375,98372.56844175635,57581.06210665119,98372.56844175635,26026.60856626396,0.2645718108059117,11.496517268176682,6.888934623749954e-06,0.7917675544794189
376,17,8,17173.620000000003,9178.000048828126,17173.620000000003,3000.2138964843753,105736.88308618881,59203.5053247025,105736.88308618881,26476.138927642733,0.2503964383559648,11.568709052205264,6.6793814028631715e-06,0.7893462469733656
159,7,21,840.7800000000001,476.33853515625003,840.7800000000001,130.4186022949219,140573.65524561313,75397.57535983648,140573.65524561313,25189.303132656703,0.1791893586934582,11.853486867015505,6.4572179340194324e-06,0.7869249394673123
164,8,3,159399.90000000002,46976.652421875006,159399.90000000002,6340.8235693359375,303066.8146001621,98372.47923758693,303066.8146001621,19814.275509086536,0.0653792317553066,12.621708570414256,6.379895208463715e-06,0.784503631961259
87,4,18,164232.36000000002,72128.696484375,164232.36000000002,22179.63357421875,171606.01828758203,76608.7489037345,171606.01828758203,23958.5363292655,0.1396136136036624,12.05295653702696,6.378298947118388e-06,0.7820823244552058
345,15,23,196996.05000000002,91047.70195312501,196996.05000000002,16821.007382812502,266356.5004093442,115995.48596640088,266356.5004093442,21185.12643775442,0.07953673518459853,12.492590917563927,6.266761996109871e-06,0.7796610169491526
407,18,16,3180.8700000000003,1690.0829956054688,3180.8700000000003,182.02692123413087,113559.54323365854,69355.53754144227,113559.54323365854,29690.55968633134,0.26145367303248535,11.640082588332064,6.0209472998451474e-06,0.7772397094430993
225,10,18,6795.09,2821.734470214844,6795.09,651.8539764404297,195048.93158494146,83489.40437823613,195048.93158494146,25243.04282245157,0.12941902638138025,12.181005737272743,5.940067568488416e-06,0.774818401937046
82,4,13,11791.17,6831.421347656251,11791.17,2158.5356982421877,92518.49707810453,65411.51907298826,92518.49707810453,32518.88631801071,0.35148524181665125,11.43516387192144,5.9193784952560335e-06,0.7723970944309927
381,17,13,22999.140000000003,13696.56685546875,22999.140000000003,5757.498193359375,112183.71299641728,66912.54860865892,112183.71299641728,31356.24968381248,0.27950803950314856,11.627893101074195,5.797079775438085e-06,0.7699757869249395
685,32,18,328.05,91.69202842712403,328.05,13.049193191528321,93273.00613624988,49930.529644051225,93273.00613624988,33872.735988257125,0.3631569024244489,11.443286021674874,5.729391499120773e-06,0.7675544794188862
146,7,8,547.5600000000001,338.6822387695313,547.5600000000001,103.87125274658204,169446.7279160699,90041.83639629906,169446.7279160699,28583.16621529518,0.16868526507902207,12.040293866822612,5.605227746618979e-06,0.7651331719128329
198,9,14,14174.19,4378.43126953125,14174.19,521.3155847167969,118621.31678946453,69355.39626838101,118621.31678946453,32830.34533033715,0.27676598286803883,11.683691486237059,5.523161910603314e-06,0.7627118644067796
75,4,6,160814.16,101458.37250000001,160814.16,26953.721367187503,172020.9455176912,108062.65445582652,172020.9455176912,29123.318964533406,0.16930100504265783,12.055371524647109,5.5062818010709336e-06,0.7602905569007264
195,9,11,46546.65,3082.9046923828128,46546.65,157.0755322265625,143872.5229735615,66488.85404440401,143872.5229735615,31010.711306178222,0.21554297280153245,11.876682929358594,5.492960754693854e-06,0.7578692493946732
412,18,21,202457.88,74077.683046875,202457.88,15211.67818359375,269949.7767405451,109087.32894006565,269949.7767405451,25998.26019770858,0.09630776699139892,12.505991208606066,5.356792042610081e-06,0.7554479418886199
